Race,Sex,Age Group,Occupation,Cause of Death (ICD),PMR,Deaths,Significance level,Lower 95% CI,Upper 95% CI
B,F,65-90,ENGINEERS AND SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,ENGINEERS AND SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]C384, C48, [9]158, 163",,,,,
W,F,65-90,ENGINEERS AND SCIENTISTS,MN PERITONEUM AND PLEURA,146,<5,,4,816
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]C384, C48, [9]158, 163",,,,,
W,M,65-90,ENGINEERS AND SCIENTISTS,MN PERITONEUM AND PLEURA,158,5,,51,369
,,,"[0]160-176, 132-153, [8]044-079, [9]044-079","[0]C384, C48, [9]158, 163",,,,,
B,F,65-90,LIFE AND PHYSICAL SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083","[0]C384, C48, [9]158, 163",,,,,
B,M,65-90,LIFE AND PHYSICAL SCIENTISTS,MN PERITONEUM AND PLEURA,0,<5,,,
,,,"[0]160-176, [8]069-083, [9]069-083","[0]C384, C48, [9]158, 163",,,,,
